,LEAD_REFERENCE_NUMBER,CAMPAIGN_CODE,CIF,MARKETING_MESSAGE_LINE1,MARKETING_MESSAGE_LINE2,MARKETING_MESSAGE_LINE3,MARKETING_MESSAGE_LINE4,MARKETING_MESSAGE_LINE5,MARKETING_MESSAGE_LINE6,BRANCH_CODE,PERSONALIZED_MESSAGE,PRODUCT_OFFER,PROVINCE_CODE,REGION,CAMPAIGN_TYPE,LEAD_STATUS_CODE,OWNER_EMPLOYEE_ID,REFER_NAME,RESPONSE_DATE_TIME,RESPONSE_CODE
4390,LMAY004027926,,17119683,,,,,,,17,,AYFDLMF,,60501,,1,261479,,2018-02-20T10:39:49Z,
4459,LMMT004028103,,14303324,,,,,,,542,,MTFLTFX,,60501,,1,381053,,2018-02-20T11:44:52Z,
4537,LMPR004043198,,14159542,,,,,,,599,,PRNSCHN,,60501,,1,262147,,2018-03-05T13:58:05Z,
4544,LMAY004044999,,622280,,,,,,,14,,AYFDLMF,,50303,,1,131722,,2018-03-06T16:51:32Z,
4561,LMMT004111590,,12052641,,,,,,,615,,MTFLTFX,,50303,,1,185553,,2018-04-23T10:21:50Z,
4583,LMMT004114523,,7670026,,,,,,,493,,MTFLTFX,,50303,,1,140301,,2018-04-24T17:50:41Z,
4640,LMMT004031510,,3874094,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-02-22T10:05:30Z,
4658,LMMT004031508,,3712345,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-02-22T10:04:42Z,
4661,LMPR004111468,,14903203,,,,,,,361,,PRNSCHN,,50303,,1,11094208,,2018-04-23T09:34:06Z,
4662,LMMT004031533,,16424194,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-02-22T10:15:58Z,
4679,LMAY004112730,,844536,,,,,,,361,,AYFDLMF,,50303,,1,11094208,,2018-04-23T17:12:34Z,
4684,LMAY004168119,,12726747,,,,,,,449,,AYFSDIV,,50303,,1,147546,,2018-06-04T20:32:11Z,
4691,LMMT004031535,,17610152,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-02-22T10:17:07Z,
4708,LMPR004043192,,14359740,,,,,,,599,,PRNSCHN,,60501,,1,262147,,2018-03-05T13:54:30Z,
4729,LMAY004112537,,119207,,,,,,,449,,AYFDLMF,,50303,,1,147546,,2018-04-23T16:28:58Z,
4730,LMMT004131226,,724942,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-05-08T13:58:14Z,
4819,LMAY004215095,,13623309,,,,,,,615,,AYFDLMF,,50303,,1,185553,,2018-07-10T09:10:17Z,
4860,LMAY004112773,,12065050,,,,,,,361,,AYFDLMF,,50303,,1,11094208,,2018-04-23T17:20:54Z,
4981,LMMT003993489,,11061724,,,,,,,493,,MTFLTFX,,50303,,1,140301,,2018-01-23T19:02:04Z,
4992,LMAY004140805,,10380518,,,,,,,687,,AYFPLUS,,50303,,1,171306,,2018-05-15T09:55:24Z,
5000,LMAY004167086,,5042301,,,,,,,86,,AYFCASH,,60501,,1,234427,,2018-06-04T11:15:39Z,
